epoch,accuracy,iou,jacard_coef,loss,lr,precision,recall,val_accuracy,val_iou,val_jacard_coef,val_loss,val_precision,val_recall
0,0.5698447227478027,0.003588940715417266,0.0035951435565948486,-0.0035951435565948486,1e-04,0.004421213176101446,0.6947997808456421,0.0014085972215980291,0.0016876860754564404,0.001690391916781664,-0.001690391916781664,0.001980734057724476,1.0
1,0.732837438583374,0.004184807185083628,0.004194121342152357,-0.004194121342152357,1e-04,0.005220270249992609,0.508240282535553,0.49142351746559143,0.0018384589347988367,0.001843079342506826,-0.001843079342506826,0.0022187738213688135,0.5696426033973694
2,0.7969807982444763,0.004466737620532513,0.004478363320231438,-0.004478363320231438,1e-04,0.005662646610289812,0.4179193675518036,0.8970602750778198,0.003296978073194623,0.003318524919450283,-0.003318524919450283,0.005204618442803621,0.2677074372768402
3,0.8368209600448608,0.0048705535009503365,0.004884906578809023,-0.004884906578809023,1e-04,0.0059991986490786076,0.3549047112464905,0.7021161913871765,0.002994003240019083,0.0030028647743165493,-0.0030028647743165493,0.003892830340191722,0.5854852795600891
4,0.8633944392204285,0.004673989489674568,0.004690361674875021,-0.004690361674875021,1e-04,0.0056673982180655,0.2795858681201935,0.9237556457519531,0.003242282196879387,0.003276043338701129,-0.003276043338701129,0.004413362592458725,0.16676822304725647
5,0.8777855634689331,0.005305489990860224,0.005324194673448801,-0.005324194673448801,1e-04,0.006827160716056824,0.3012334704399109,0.997201144695282,0.0018564814236015081,0.0019443106139078736,-0.0019443106139078736,0.0044861133210361,0.0018700228538364172
6,0.8947532176971436,0.005658005364239216,0.005679928231984377,-0.005679928231984377,1e-04,0.006941766943782568,0.2628195583820343,0.7461495399475098,0.0033987206406891346,0.0034096657764166594,-0.0034096657764166594,0.0041163619607687,0.527199387550354
7,0.8910073637962341,0.005941553507000208,0.005965817254036665,-0.005965817254036665,1e-04,0.007147372234612703,0.2806185185909271,0.735829770565033,0.0037507740780711174,0.0037621697410941124,-0.0037621697410941124,0.004376481287181377,0.583741307258606
8,0.8933258056640625,0.005735678598284721,0.005760206375271082,-0.005760206375271082,1e-04,0.007567909080535173,0.2908497750759125,0.9735924601554871,0.0038449557032436132,0.003914963454008102,-0.003914963454008102,0.007027381099760532,0.08774399757385254
9,0.9396722912788391,0.006998558063060045,0.0070367371663451195,-0.0070367371663451195,1e-04,0.009633297100663185,0.20591698586940765,0.9699918627738953,0.004359692335128784,0.004433440510183573,-0.004433440510183573,0.006928585935384035,0.09925829619169235
10,0.9321486949920654,0.005758483894169331,0.005796120036393404,-0.005796120036393404,1e-04,0.00726286880671978,0.17478880286216736,0.8698219060897827,0.0032918499782681465,0.0033139686565846205,-0.0033139686565846205,0.004148505628108978,0.27043893933296204
11,0.9435580372810364,0.006559068337082863,0.006602500099688768,-0.006602500099688768,1e-04,0.008916696533560753,0.17752857506275177,0.7539933919906616,0.0024598855525255203,0.002472443738952279,-0.002472443738952279,0.003167257644236088,0.3923055827617645
12,0.9262829422950745,0.00570021104067564,0.005733783356845379,-0.005733783356845379,1e-04,0.007120863068848848,0.1867309957742691,0.8694708347320557,0.003929181955754757,0.003955407068133354,-0.003955407068133354,0.004986610729247332,0.32643455266952515
13,0.9523395895957947,0.007232775911688805,0.0072837285697460175,-0.0072837285697460175,1e-04,0.010946277529001236,0.18294332921504974,0.9973975419998169,0.0012034073006361723,0.0015392783097922802,-0.0015392783097922802,0.004717607982456684,0.0014918160159140825
14,0.9600104093551636,0.006435677409172058,0.006492533255368471,-0.006492533255368471,1e-04,0.010106931440532207,0.13988058269023895,0.9826810956001282,0.0061661493964493275,0.00632477318868041,-0.00632477318868041,0.012061374261975288,0.09543420374393463
15,0.9697128534317017,0.008301195688545704,0.008377240970730782,-0.008377240970730782,1e-04,0.013308149762451649,0.1370341181755066,0.9826416969299316,0.004918309859931469,0.00505803432315588,-0.00505803432315588,0.009795577265322208,0.0773853287100792
16,0.9733774662017822,0.009388414211571217,0.009477401152253151,-0.009477401152253151,1e-04,0.014774778857827187,0.13223665952682495,0.519852876663208,0.002665456850081682,0.0026714960113167763,-0.0026714960113167763,0.003150354139506817,0.764650285243988
17,0.9766905307769775,0.010415492579340935,0.010523166507482529,-0.010523166507482529,1e-04,0.018026871606707573,0.1398729532957077,0.988832414150238,0.004088388755917549,0.0043120477348566055,-0.0043120477348566055,0.00768075929954648,0.0361187569797039
18,0.9753432273864746,0.009552771225571632,0.009674515575170517,-0.009674515575170517,1e-04,0.012969911098480225,0.10621458292007446,0.9584870338439941,0.0066757421009242535,0.006736934185028076,-0.006736934185028076,0.010116204619407654,0.20559746026992798
19,0.9779765605926514,0.01418173499405384,0.014314317144453526,-0.014314317144453526,1e-04,0.019558582454919815,0.14266225695610046,0.9957389831542969,0.0015357894590124488,0.0021528364159166813,-0.0021528364159166813,0.0021447136532515287,0.002479356247931719
